interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,MI,MI07,58,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,Retired,The United States,Female,Northeast,Not Hispanic,White,"$45,000 to $54,999",High school graduate,PA,,70,Disagree,Disagree,65 years and older,0,0,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,West,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,CA,CA40,19,Disagree,Agree,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Self-employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MI,MI01,41,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,Northeast,Not Hispanic,White,"$25,000 to $34,999",Didn't graduate from high school,CT,CT01,39,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,NC,NC02,63,Disagree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,South,Not Hispanic,White,NA,Some college or associate degree,DE,DE00,69,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Jill Stein,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,Midwest,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,WI,WI08,68,Agree,Not Asked,65 years and older,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,Self-employed,The United States,Male,South,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,FL,FL06,41,Agree,Not Asked,30-44 year olds,0,0,White
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,CT,CT01,73,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,NA,Bachelor's degree or higher,NC,NC09,38,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"$25,000 to $34,999",Some college or associate degree,OR,OR05,69,Not sure,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IL,IL15,61,Disagree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,Northeast,Mexican,White,"Less than $14,999",Some college or associate degree,NJ,NJ09,19,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,Retired,The United States,Female,South,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,TX,TX22,72,Agree,Not Asked,65 years and older,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,West,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,CA,CA24,54,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,NA,Some college or associate degree,NC,NC12,72,Disagree,Not Asked,65 years and older,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,FL,FL02,70,Agree,Not Asked,65 years and older,0,1,White
