interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age,health_subsidies,medicare_for_all,age_group,vote_trump,vote_Biden,race
Some of the time,Registered,Don't recall,"No, I will not vote but I am eligible",I would not vote,Not Sure,Permanently disabled,The United States,Female,South,Not Hispanic,American Indian or Alaska Native,"Less than $14,999",Some college or associate degree,OK,OK02,28,Agree,Not Asked,18-29 year olds,0,0,Native
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,South,Mexican,Some other race,"Less than $14,999",Bachelor's degree or higher,FL,FL07,27,Agree,Not Asked,18-29 year olds,0,1,Other
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,West,Not Hispanic,White,"$25,000 to $34,999",High school graduate,NV,NV01,38,Not sure,Disagree,30-44 year olds,1,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,West,Mexican,Some other race,"$75,000 to $99,999",Some college or associate degree,CA,CA28,34,Not sure,Not Asked,30-44 year olds,0,1,Other
Some of the time,Registered,Someone else:,"Yes, I will vote",Someone else,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IA,IA03,50,Not sure,Disagree,45-64 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Female,South,Not Hispanic,American Indian or Alaska Native,"$100,000 to $149,999",High school graduate,FL,FL16,57,Agree,Not Asked,45-64 year olds,1,0,Native
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Not Sure,Self-employed,The United States,Female,South,Mexican,White,"$25,000 to $34,999",Some college or associate degree,TX,TX15,41,Not sure,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,Female,Midwest,Mexican,White,NA,Bachelor's degree or higher,IL,IL08,25,Agree,Not Asked,18-29 year olds,0,1,White
Some of the time,Registered,Donald Trump,"No, I will not vote but I am eligible",Donald Trump,Moderate,Permanently disabled,The United States,Female,South,Not Hispanic,American Indian or Alaska Native,"$25,000 to $34,999",Some college or associate degree,SC,SC02,47,Not sure,Not Asked,45-64 year olds,1,0,Native
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,West,Not Hispanic,"Black, or African American","$75,000 to $99,999",Some college or associate degree,CA,CA43,65,Agree,Not Asked,65 years and older,0,1,Black
Only now and then,Not registered,Was not eligible to vote,Not sure,I am not sure/don't know,Not Sure,Other:,The United States,Female,South,Not Hispanic,White,"$55,000 to $74,999",High school graduate,MD,MD02,23,Not sure,Not Sure,18-29 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,KS,KS02,66,Agree,Disagree,65 years and older,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,PA,PA06,62,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Not Sure,Full-time employed,The United States,Male,West,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,ID,ID02,40,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,White,"$150,000 and over",NA,CA,CA30,40,Disagree,Not Asked,30-44 year olds,0,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Part-time employed,The United States,Female,Northeast,Mexican,"Black, or African American","Less than $14,999",High school graduate,NY,NY25,33,Not sure,Not Sure,30-44 year olds,0,1,Black
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$55,000 to $74,999",Bachelor's degree or higher,WI,WI07,30,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Moderate,Permanently disabled,The United States,Female,West,Not Hispanic,"Black, or African American","Less than $14,999",High school graduate,CA,CA12,29,Agree,Not Asked,18-29 year olds,0,0,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,WV,WV02,67,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Moderate,Unemployed or temporarily on layoff,Another country,Male,West,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AZ,AZ04,58,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,TX,TX04,54,Agree,Disagree,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Male,South,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,TN,TN02,71,Disagree,Not Asked,65 years and older,1,0,White
Hardly at all,Not registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,NA,High school graduate,MO,MO04,36,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,Female,West,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,ID,ID02,63,Agree,Agree,45-64 year olds,1,0,White
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Very Liberal,Full-time employed,Another country,Female,South,Not Hispanic,White,NA,Bachelor's degree or higher,LA,LA04,52,Agree,Not Asked,45-64 year olds,0,1,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Northeast,Other Hispanic,"Black, or African American","Less than $14,999",Some college or associate degree,NY,NY19,47,Agree,Not Asked,45-64 year olds,0,1,Black
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NJ,NJ04,30,Disagree,Not Sure,30-44 year olds,1,0,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Didn't graduate from high school,TX,TX14,22,Agree,Not Asked,18-29 year olds,0,0,White
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Part-time employed,The United States,Female,West,Mexican,White,"$35,000 to $44,999",High school graduate,UT,UT02,46,Agree,Not Asked,45-64 year olds,0,1,White
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Liberal,Self-employed,The United States,Female,Midwest,Mexican,"Black, or African American","Less than $14,999",Some college or associate degree,IL,IL02,34,NA,Not Sure,30-44 year olds,1,0,Black
Only now and then,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MI,MI13,54,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,SD,SD00,72,Disagree,Not Asked,65 years and older,1,0,White
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$35,000 to $44,999",Didn't graduate from high school,OH,OH01,45,Agree,Not Asked,45-64 year olds,0,0,White
Only now and then,Not registered,Jill Stein,"No, I am not eligible to vote",Joe Biden,Liberal,Unemployed or temporarily on layoff,The United States,Female,West,Not Hispanic,Asian (Asian Indian),"$55,000 to $74,999",Bachelor's degree or higher,CA,CA43,33,Agree,Not Asked,30-44 year olds,0,1,Asian
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,"Black, or African American","$75,000 to $99,999",Some college or associate degree,CA,CA44,51,Agree,Not Asked,45-64 year olds,0,1,Black
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,Male,West,Mexican,White,"$55,000 to $74,999",Some college or associate degree,CA,CA41,35,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,Male,Northeast,Not Hispanic,White,"Less than $14,999",Some college or associate degree,NY,NY27,71,Agree,Not Asked,65 years and older,1,0,White
Only now and then,Not registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,Unemployed or temporarily on layoff,The United States,Male,Midwest,Not Hispanic,White,"$75,000 to $99,999",Bachelor's degree or higher,OH,OH13,26,Agree,Agree,18-29 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Not Hispanic,Asian (Chinese),"Less than $14,999",Bachelor's degree or higher,CA,CA14,62,Agree,Not Asked,45-64 year olds,0,1,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,MI,MI06,58,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Bachelor's degree or higher,IL,IL03,70,Agree,Not Asked,65 years and older,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,GA,GA04,66,Disagree,Not Asked,65 years and older,1,0,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,Unemployed or temporarily on layoff,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Bachelor's degree or higher,TX,TX04,30,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,Northeast,Not Hispanic,White,NA,High school graduate,NY,NY01,50,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,TX,TX02,45,Not sure,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Other:,The United States,Female,West,Not Hispanic,Pacific Islander (Native Hawaiian),"$55,000 to $74,999",Bachelor's degree or higher,NV,NV03,55,Agree,Agree,45-64 year olds,0,1,Native
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,Unemployed or temporarily on layoff,The United States,Female,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,SC,SC01,63,Agree,Disagree,45-64 year olds,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,IN,IN05,48,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,OH,OH08,35,Agree,Agree,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,NY,NY19,56,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,WV,WV03,42,Disagree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,TN,TN01,54,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,West,Mexican,Some other race,"$25,000 to $34,999",Bachelor's degree or higher,CA,CA11,59,Agree,Not Asked,45-64 year olds,0,1,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,Midwest,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,IN,IN08,41,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,KS,KS03,66,Disagree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Male,West,Not Hispanic,Some other race,"$25,000 to $34,999",Bachelor's degree or higher,MT,MT00,70,Agree,Disagree,65 years and older,1,0,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",Some college or associate degree,MN,MN08,42,Disagree,Disagree,30-44 year olds,1,0,White
Some of the time,Not registered,Don't recall,Not sure,I would not vote,Not Sure,Homemaker,The United States,Female,Northeast,Not Hispanic,White,NA,High school graduate,MA,MA02,25,Not sure,Not Asked,18-29 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Some college or associate degree,DE,DE00,41,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,Permanently disabled,The United States,Female,Northeast,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,PA,PA12,56,Agree,Disagree,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Liberal,Full-time employed,The United States,Female,Northeast,Mexican,Some other race,"$55,000 to $74,999",Bachelor's degree or higher,CT,CT03,34,Agree,Not Asked,30-44 year olds,0,0,Other
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,TX,TX36,38,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Not registered,Don't recall,Not sure,I would not vote,Not Sure,Part-time employed,The United States,Female,South,Mexican,White,"Less than $14,999",Didn't graduate from high school,TX,,26,Not sure,Not Asked,18-29 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Female,Midwest,Not Hispanic,White,"$35,000 to $44,999",Bachelor's degree or higher,MI,MI06,35,Agree,Disagree,30-44 year olds,1,0,White
Some of the time,Registered,Gary Johnson,Not sure,Donald Trump,Not Sure,Student,Another country,Male,South,Not Hispanic,White,"$150,000 and over",High school graduate,DE,DE00,18,Disagree,Not Asked,18-29 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"$45,000 to $54,999",Some college or associate degree,OH,OH03,68,Disagree,Disagree,65 years and older,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Female,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NC,NC04,66,Disagree,Not Asked,65 years and older,1,0,White
Only now and then,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Not Sure,Part-time employed,The United States,Female,South,Mexican,Some other race,"$25,000 to $34,999",Some college or associate degree,TX,TX15,28,Agree,Not Asked,18-29 year olds,0,1,Other
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,Self-employed,The United States,Female,Midwest,Not Hispanic,White,"$150,000 and over",Some college or associate degree,OH,OH13,34,Not sure,Not Sure,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,IL,IL15,38,Agree,Not Asked,30-44 year olds,1,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,South,Not Hispanic,White,"$25,000 to $34,999",Bachelor's degree or higher,NC,NC11,74,Disagree,Disagree,65 years and older,1,0,White
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,Retired,The United States,Female,Northeast,Not Hispanic,White,"$25,000 to $34,999",High school graduate,PA,PA17,70,Not sure,Not Asked,65 years and older,0,0,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,FL,FL04,57,Disagree,Disagree,45-64 year olds,1,0,White
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,Female,Midwest,Not Hispanic,White,NA,Some college or associate degree,MN,MN07,54,Not sure,Agree,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,Permanently disabled,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,MO,MO05,45,Agree,Disagree,45-64 year olds,0,1,White
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,Permanently disabled,The United States,Male,South,Not Hispanic,White,"Less than $14,999",Some college or associate degree,AL,AL02,56,Agree,Agree,45-64 year olds,0,1,White
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,Retired,The United States,Female,Midwest,Not Hispanic,White,NA,Some college or associate degree,WI,WI08,57,Disagree,Agree,45-64 year olds,0,1,White
Some of the time,Not registered,Hillary Clinton,"No, I am not eligible to vote",Joe Biden,Moderate,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"Less than $14,999",High school graduate,MO,MO03,55,Agree,Not Asked,45-64 year olds,0,1,White
Hardly at all,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$15,000 to $24,999",Didn't graduate from high school,MI,MI04,23,Agree,Agree,18-29 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Full-time employed,The United States,Female,Northeast,Mexican,White,"$75,000 to $99,999",Bachelor's degree or higher,MA,MA06,42,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Not registered,Hillary Clinton,Not sure,Joe Biden,Not Sure,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,NA,Some college or associate degree,OH,OH12,49,Agree,Agree,45-64 year olds,0,1,White
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,Female,Midwest,Not Hispanic,White,NA,Bachelor's degree or higher,IN,IN04,69,Agree,Disagree,65 years and older,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,Unemployed or temporarily on layoff,Another country,Female,South,Not Hispanic,Some other race,"$55,000 to $74,999",Bachelor's degree or higher,FL,FL21,57,Agree,Not Asked,45-64 year olds,0,0,Other
Only now and then,Registered,Jill Stein,"No, I will not vote but I am eligible",Donald Trump,Moderate,Self-employed,The United States,Male,West,Mexican,Asian (Filipino),"$150,000 and over",Some college or associate degree,CA,,26,Not sure,Not Asked,18-29 year olds,1,0,Asian
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Some college or associate degree,FL,FL03,39,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,TN,TN02,58,Disagree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Homemaker,The United States,Female,Midwest,Not Hispanic,White,"$35,000 to $44,999",Some college or associate degree,MI,MI03,34,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,Female,Northeast,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,MA,MA06,38,Disagree,Not Asked,30-44 year olds,1,0,White
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,Another country,Male,West,Not Hispanic,White,NA,Some college or associate degree,WA,WA05,68,Agree,Not Asked,65 years and older,1,0,White
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,MI,MI10,76,Agree,Agree,65 years and older,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Permanently disabled,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,SD,SD00,42,Agree,Not Asked,30-44 year olds,0,1,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,FL,,40,Agree,Not Asked,30-44 year olds,1,0,White
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Some college or associate degree,FL,FL24,34,Disagree,Not Asked,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$150,000 and over",Some college or associate degree,MI,MI12,55,Agree,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,Full-time employed,The United States,Male,Northeast,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,NY,,41,Disagree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Moderate,Part-time employed,Another country,Male,West,Mexican,White,"$15,000 to $24,999",Some college or associate degree,CA,CA28,30,Agree,Not Asked,30-44 year olds,0,0,White
Some of the time,Not registered,Don't recall,Not sure,Joe Biden,Not Sure,Unemployed or temporarily on layoff,The United States,Female,South,Salvadorean,White,"Less than $14,999",High school graduate,DC,DC00,29,Not sure,Not Sure,18-29 year olds,0,1,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,Self-employed,The United States,Male,South,Not Hispanic,White,"$45,000 to $54,999",Didn't graduate from high school,AR,AR01,51,Agree,Not Asked,45-64 year olds,1,0,White
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,Male,Midwest,Not Hispanic,White,"Less than $14,999",High school graduate,WI,WI08,31,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Full-time employed,The United States,Male,South,Not Hispanic,White,"$150,000 and over",Bachelor's degree or higher,TX,TX01,37,Agree,Not Asked,30-44 year olds,1,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,South,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,NC,NC06,42,Agree,Not Asked,30-44 year olds,0,1,White
Some of the time,Not registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Female,South,Not Hispanic,"Black, or African American","$150,000 and over",Bachelor's degree or higher,TN,TN09,26,Agree,Not Asked,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Unemployed or temporarily on layoff,The United States,Male,Northeast,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,NY,NY16,47,Not sure,Disagree,45-64 year olds,1,0,White
Some of the time,Registered,Was not eligible to vote,Not sure,Donald Trump,Conservative,Part-time employed,The United States,Female,South,Not Hispanic,White,"$75,000 to $99,999",Some college or associate degree,NC,NC02,20,Agree,Agree,18-29 year olds,1,0,White
Some of the time,Don't know,Hillary Clinton,Not sure,I am not sure/don't know,Moderate,Full-time employed,The United States,Female,South,Not Hispanic,White,NA,Bachelor's degree or higher,TX,TX14,41,Agree,Not Asked,30-44 year olds,0,0,White
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$100,000 to $149,999",Bachelor's degree or higher,IA,IA04,52,Agree,Not Asked,45-64 year olds,0,1,White
Most of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Conservative,Self-employed,The United States,Male,Northeast,Not Hispanic,White,"$55,000 to $74,999",Some college or associate degree,MA,MA08,63,Not sure,Not Asked,45-64 year olds,0,0,White
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Very Conservative,Permanently disabled,The United States,Male,Midwest,Not Hispanic,White,"$15,000 to $24,999",Some college or associate degree,IL,IL04,62,Agree,Not Asked,45-64 year olds,1,0,White
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,Full-time employed,The United States,Male,Midwest,Mexican,White,"$150,000 and over",Some college or associate degree,IL,IL02,44,Agree,Not Asked,30-44 year olds,0,1,White
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Moderate,Homemaker,The United States,Female,West,Mexican,White,"$25,000 to $34,999",Some college or associate degree,CA,CA06,32,Not sure,Agree,30-44 year olds,0,1,White
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,Female,South,Mexican,Some other race,"$15,000 to $24,999",Some college or associate degree,FL,,69,Agree,Not Asked,65 years and older,0,1,Other
Most of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,Male,South,Not Hispanic,"Black, or African American","$100,000 to $149,999",Didn't graduate from high school,FL,FL24,25,Agree,Agree,18-29 year olds,0,1,Black
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Full-time employed,The United States,Female,Midwest,Not Hispanic,White,"$75,000 to $99,999",Didn't graduate from high school,IL,IL18,44,Agree,Not Asked,30-44 year olds,1,0,White
